건축구분,대지위치,지목,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),허가일,최대지상층수,최대지하층수,주용도,부속용도,지번주소,위도,경도
신축,서울특별시 서대문구 남가좌동 5-276,대,145.0,85.76,298.03,2021-05-04,3,1,단독주택,다중주택,남가좌동 5-276,37.57744,126.9179
신축,서울특별시 서대문구 홍제동 260-24 외1필지,대,289.69,170.87,522.89,2021-05-04,5,0,공동주택,다세대주택,홍제동 260-24,37.5871,126.94676
신축,서울특별시 서대문구 대현동 37-66 외2필지,대,258.3,180.17,1729.98,2021-05-03,10,1,업무시설,오피스텔,대현동 37-66,37.56058,126.94496
신축,서울특별시 서대문구 연희동 446-333 외1필지,대,758.0,394.23,1655.68,2021-04-30,2,2,단독주택,다가구주택(15가구),연희동 446-333,0.0,0.0
신축,서울특별시 서대문구 홍은동 396-15,대,235.0,114.35,544.55,2021-04-28,5,1,공동주택,도시형생활주택-원룸형,홍은동 396-15,37.59296,126.93733
신축,서울특별시 서대문구 홍은동 352-3,대,259.0,129.3,461.61,2021-04-28,5,0,공동주택,도시형생활주택(원룸형),홍은동 352-3,37.59296,126.93733
신축,서울특별시 서대문구 연희동 77-5,대,225.0,132.89,834.56,2021-04-28,5,2,제2종근린생활시설,사무소,연희동 77-5,37.54135,126.65988
신축,서울특별시 서대문구 북가좌동 345-31,대,207.8,123.81,532.72,2021-04-27,4,1,단독주택,다중주택,북가좌동 345-31,37.57953,126.91156
신축,서울특별시 서대문구 홍은동 414-14,대,202.3,117.92,431.9,2021-04-27,5,0,공동주택,공동체주택[도시형생활주택-다세대(원룸형)],홍은동 414-14,37.59296,126.93733
신축,서울특별시 서대문구 북가좌동 325-40,대,171.2,102.68,340.79,2021-04-22,5,0,공동주택,다세대주택,북가좌동 325-40,37.57953,126.91156
신축,서울특별시 서대문구 창천동 72-32 외1필지,대,323.2,177.92,2228.88,2021-04-22,14,1,업무시설,"오피스텔, 근린생활시설",창천동 72-32,37.55844,126.93363
신축,서울특별시 서대문구 연희동 190-21,대,140.2,82.41,209.65,2021-04-19,4,0,단독주택,다가구주택,연희동 190-21,37.54135,126.65988
신축,서울특별시 서대문구 창천동 29-72 외1필지,대,255.5,152.95,1621.64,2021-04-16,10,1,숙박시설,,창천동 29-72,37.55844,126.93363
신축,서울특별시 서대문구 창천동 428,대,203.36,100.6,347.5,2021-04-16,5,0,단독주택,다중주택(7실) 및 사무소(2호),창천동 428,37.55844,126.93363
신축,서울특별시 서대문구 북가좌동 289-26,대,140.2,84.01,279.8,2021-04-15,5,0,단독주택,다중주택,북가좌동 289-26,37.57953,126.91156
신축,서울특별시 서대문구 대현동 27-27 외3필지,대,682.2,408.96,5825.02,2021-04-14,17,1,업무시설,오피스텔 및 근린생활시설,대현동 27-27,35.526350199999996,129.32716570682675
신축,서울특별시 서대문구 홍제동 330-21 외1필지,대,162.0,86.39,788.57,2021-04-02,11,1,업무시설,오피스텔 및 제2종근린생활시설(사무소),홍제동 330-21,37.5871,126.94676
신축,서울특별시 서대문구 홍제동 260-52 외4필지,대,749.5,343.11,1371.8,2021-03-29,6,1,공동주택,도시형생활주택(단지형다세대),홍제동 260-52,37.5871,126.94676
신축,서울특별시 서대문구 북아현동 1-1644,대,380.0,206.41,891.59,2021-03-29,4,1,공동주택,다세대주택,북아현동 1-1644,0.0,0.0
신축,서울특별시 서대문구 연희동 112-6,대,120.0,59.29,177.1,2021-03-25,2,1,단독주택,단독주택,연희동 112-6,37.54135,126.65988
신축,서울특별시 서대문구 북가좌동 8-36,대,162.0,96.69,323.18,2021-03-25,5,0,공동주택,다세대주택,북가좌동 8-36,37.57953,126.91156
신축,서울특별시 서대문구 홍제동 175-1 외2필지,대,182.0,90.4,439.38,2021-03-17,5,0,제1종근린생활시설,"제2종근린생활시설,주택",홍제동 175-1,37.5871,126.94676
신축,서울특별시 서대문구 연희동 717-49,대,75.7,43.07,186.64,2021-03-17,4,1,제2종근린생활시설,"(일반음식점,사무소)",연희동 717-49,37.54135,126.65988
신축,서울특별시 서대문구 대현동 37-52 외4필지,대,385.1,232.4,2479.46,2021-03-17,10,1,업무시설,"(오피스텔), 제1종근린생활시설(의류및잡화,미용실)",대현동 37-52,37.56058,126.94496
